product_id,product_together_id,pl_id,product_code,product_model,product_sort_name,product_date_added,product_last_modified,product_date_live,product_date_live_first,product_status,product_status_last,product_status_last_before,product_ur_last_time,product_ur_log,product_dis_last_time,product_dis_log,product_last_set_N,product_set_N_log,product_ordered,product_quantity,product_pack_unit,product_length,product_width,product_height,product_pack_length,product_pack_width,product_pack_height,product_pack_weight,product_shape,product_weight,product_total_weight,product_net_weight,product_volume_weight,amazon_weight,product_visible,product_condition,product_is_new,product_cost,dyn_prod_cost,product_base_price,product_profit,warehouse_price,other_price,misc1,is_combo_item,product_base_ship_fee,currency_id,product_type,gt_id,product_ebay_status,product_ad_status,p_is_ebay_foul,p_is_asr_low,p_notification,ppm_weight_1,ppm_weight_2,ppm_weight_3,ppm_price_1,ppm_price_2,ppm_total_price,in_package_require,out_package_require,other_package,other_package_explain,easy_to_break,easy_to_fold,easy_to_scratch,easy_to_deform,easy_to_wear,is_order_products,black_white,dispatch_time_max,dispatch_time_reason,is_ebay_sale,is_site_sale,is_site_online,site_buy_limit,is_amazon_sale,is_amazon_online,amazon_buy_limit,is_cff,wc_sign_id,stocktaking_first_time,stocktaking_last_time,weight_comment,amazon_upc,brand,color,yardage,material,owner,pack_remark,product_create_user_id,product_manage_user_id,product_research_user_id,product_source_type,is_csp_create,is_assign_sales_group,product_mark,sale_by_actual_stock,product_title
PRODUCT_009,,0,CW-MCASE-DELLAXIMX3,,Metal Case for Dell Axim X3 / X30 / X3i,2011-08-05 03:20:26,2026-02-25 14:02:42,2016-01-28 18:55:37,2009-10-12 00:00:00,0,0,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,10.00,10.00,10.00,243.95,201.48,34.77,0.20,,75.00,97.00,75.00,213.62,0.00,N,,Y,25.03,25.03,25.41,0.0,0.00,0.00,,0,0.00,6,0,0,0,0,0,0, ,2.00,20.00,0.00,0.020,0.360,0.380,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,Y,,2017-02-04 11:57:07,2019-07-23 20:14:59,,,Generic,,,,思睿,,285,0,40159,1,N,N,0,N,
PRODUCT_002,,52,,,大力火鹰轮胎拆装机卡爪保护套扒胎机配件大盘夹爪胶套轮毂套包邮 光明卡爪套（小号）,2025-12-19 08:00:49,2026-03-25 11:30:41,0000-00-00 00:00:00,0000-00-00 00:00:00,1,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,18.00,4.20,6.00,18.00,14.00,6.00,0.00,,0.15,20.15,0.00,0.00,0.00,Y,,Y,20.00,0.00,20.36,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,0,0,0,31,N,N,0,N,
PRODUCT_004,,52,,,大力火鹰轮胎拆装机卡爪保护套扒胎机配件大盘夹爪胶套轮毂套包邮 5号卡爪套,2025-12-19 08:00:49,2026-03-25 11:32:09,0000-00-00 00:00:00,0000-00-00 00:00:00,1,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,18.00,4.50,3.20,18.00,14.00,6.00,0.00,,0.15,20.15,0.00,0.00,0.00,Y,,Y,20.00,0.00,20.36,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,0,0,0,31,N,N,0,N,
PRODUCT_003,,52,,,大力火鹰轮胎拆装机卡爪保护套扒胎机配件大盘夹爪胶套轮毂套包邮 6号卡爪套,2025-12-19 08:00:50,2026-03-25 09:51:34,0000-00-00 00:00:00,0000-00-00 00:00:00,1,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,18.00,4.30,6.00,18.00,14.00,6.00,0.00,,0.15,20.15,0.00,0.00,0.00,Y,,Y,20.80,0.00,21.16,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,0,0,0,31,N,N,0,N,
PRODUCT_001,,68,,,熊猫40/55/58型高压清洗机泵刷车器钢丝出水管外套钢丝耐磨用型 布纹管10米,2025-12-19 13:17:27,2026-03-25 16:50:47,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,2025-12-22 17:23:40,产品上架,0,,,1000.00,2.20,2.20,32.00,32.00,12.00,0.00,,2.20,22.20,0.00,0.00,0.00,Y,,Y,100.00,0.00,100.36,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,0,0,0,28,N,N,0,N,
PRODUCT_013,,72,,,轻奢岩板可折叠餐桌椅组合现代简约家用小户型多功能伸缩岩板饭桌 雪上白岩板折叠餐桌,2025-08-11 16:07:49,2026-03-16 09:30:48,2025-08-13 15:02:11,2025-08-13 15:02:11,0,1,0,0000-00-00 00:00:00,,2025-12-17 10:55:54,,0000-00-00 00:00:00,,0,,,1680.00,640.00,750.00,850.00,120.00,120.00,1200.00,,72000.00,72020.00,0.00,1530.00,0.00,Y,,Y,240.00,0.00,240.36,0.0,0.00,0.00,,0,0.00,0,0,5910,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,Y,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,9418,0,40159,28,N,Y,0,N,
PRODUCT_007,,60,,,铃鼓幼儿园老师用儿童专业打击乐器新疆维族手鼓摇铃舞蹈考级道具 红6英寸15厘米鼓+小碰钟,2025-12-19 13:00:59,2026-03-02 16:18:12,0000-00-00 00:00:00,0000-00-00 00:00:00,1,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,15.00,15.00,4.50,16.00,16.00,6.00,0.00,,0.16,20.16,0.00,0.00,0.00,Y,,Y,10.60,0.00,10.96,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,0,0,40159,31,N,N,0,N,
PRODUCT_008,,79,,,亚克力S形公主发卡固定展示架 头饰饰品装饰放置展示架 黑色 6*37.5cm,2023-03-30 10:10:20,2026-02-25 14:02:34,2023-04-07 17:50:49,2023-04-07 17:50:49,0,1,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,39.00,70.00,70.00,308.00,248.00,90.00,0.00,,70.00,92.00,0.00,1374.91,0.00,Y,,Y,1479.00,4.74,1479.38,0.0,0.00,0.00,,0,0.00,0,0,3994,0,0,0,0,,2.00,20.00,0.00,0.020,0.360,0.380,,,,,0,1,0,1,0,N,N,0,,1,1,1,0,1,1,0,Y,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,6459,280464,1500044,31,N,Y,0,N,
PRODUCT_012,,79,,,橡木烤漆浴室柜陶瓷一体盆奶油风小熊镜卫生间洗漱台盆组合洗脸池 普通全镜柜-非标定制/换岩板无缝盆,2023-10-24 11:47:54,2026-02-25 13:39:53,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,2024-07-17 16:58:39,采集产品 设计专利被删除,0,,,12.00,13.00,14.00,12.00,13.00,14.00,0.00,,10.00,10.00,0.00,0.00,0.00,Y,,Y,1871.27,0.00,1871.27,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.000,0.000,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,280459,280464,1500044,31,N,N,0,N,
PRODUCT_011,,79,,,宠物小精灵卡拉卡拉小号手办模型摆件神奇宝贝宝可梦玩偶模型 卡拉卡拉【袋装8cm】,2024-12-30 14:20:01,2026-02-05 18:22:12,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,1.00,1.00,1.00,1.00,1.00,1.00,0.00,,1.00,21.00,0.00,0.00,0.00,Y,,Y,5.10,0.00,5.46,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,280459,280459,280459,31,N,N,0,N,
PRODUCT_006,,79,,,气动气管带螺纹直通快速304不锈钢快插接头PL6-8-10-12-PC8-01-02 下单咨询,2025-09-09 17:05:59,2026-03-17 11:57:11,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,100.00,50.00,51.00,10.00,50.00,51.00,0.00,,1.00,1.00,0.00,0.00,0.00,Y,,Y,10.00,0.00,10.36,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.000,0.000,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,40159,0,40159,31,N,N,0,N,
PRODUCT_010,,57,,,硅胶皇冠奶嘴链 榉木奶嘴夹 字母奶嘴链 线球奶嘴链-蓝色,2018-12-19 09:16:53,2026-02-25 13:39:53,2019-01-14 17:09:51,2019-01-14 17:09:51,0,1,0,0000-00-00 00:00:00,,2021-03-25 10:01:17,产品滞销,0000-00-00 00:00:00,,0,,,180.00,140.00,20.00,246.35,205.51,48.93,76.80,,26.00,32.00,0.00,495.44,0.00,Y,,Y,8.50,8.50,8.68,0.0,0.00,0.00,,0,0.00,0,0,16,0,1,0,0,,0.00,6.00,0.00,0.000,0.180,0.180,,,,,0,0,0,0,0,N,N,20,,1,1,1,0,1,1,0,Y,,2019-07-23 23:14:37,2021-03-25 16:00:49,,,,,,,思睿,,2356,3698,40159,28,Y,Y,0,N,
PRODUCT_014,,81,,,2 3 a,2022-03-03 11:41:16,2026-02-28 17:21:16,0000-00-00 00:00:00,2025-01-13 10:17:02,0,,,0000-00-00 00:00:00,,2026-01-26 13:43:50,高退件高退款产品,0000-00-00 00:00:00,,0,,,3.00,4.00,5.00,3.00,4.00,5.00,0.00,,1.00,21.00,0.00,0.00,0.00,Y,,Y,23.00,0.00,23.36,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,280459,25,40159,28,N,N,0,N,
PRODUCT_005,,72,,,Adjustable swivel Light Luxury Premium bar stool for Kitchen Counter and Dining Room Black(W2195P205831),2025-12-01 20:13:47,2026-03-25 17:27:12,0000-00-00 00:00:00,0000-00-00 00:00:00,0,,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0000-00-00 00:00:00,,0,,,635.00,508.00,356.00,635.00,508.00,356.00,0.00,,16330.00,16350.00,0.00,0.00,0.00,Y,,Y,857.49,0.00,857.85,0.0,0.00,0.00,,0,0.00,0,0,0,0,0,0,0,,0.00,20.00,0.00,0.000,0.360,0.360,,,,,0,0,0,0,0,N,N,0,,1,1,1,0,1,1,0,N,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,,,思睿,,0,0,0,24,N,N,0,N,
